protocol,mechanisms,seed,features,model,accuracy,bal_acc,eer,auc,fold
P3_presplit_smote_kfold,M1+M2,2,Transfer(GNB+NMF),GNB,69.58836514738346,69.58816903688366,29.91819294701663,0.7867791465869887,0.0
P3_presplit_smote_kfold,M1+M2,2,Transfer(GNB+NMF),LR,78.02882742500974,78.02883717165723,21.99714359906518,0.8623733420565411,0.0
P3_presplit_smote_kfold,M1+M2,2,Transfer(GNB+NMF),RF,89.97532787949616,89.97537155132585,9.8558613549525,0.9651506270929798,0.0
P3_presplit_smote_kfold,M1+M2,2,Transfer(GNB+NMF),KNC,92.11790676535514,92.1170213842247,5.739207559513973,0.9770239809528305,0.0
P3_presplit_smote_kfold,M1+M2,2,MFCC,GNB,66.7965199324763,66.79725286398877,32.72302353579944,0.7379077116080491,1.0
P3_presplit_smote_kfold,M1+M2,2,MFCC,LR,81.32710037657446,81.32705284847586,18.672899938285553,0.894023276126626,1.0
P3_presplit_smote_kfold,M1+M2,2,MFCC,RF,93.44241007661343,93.44276575151673,6.3757937725738305,0.982269607826606,1.0
P3_presplit_smote_kfold,M1+M2,2,MFCC,KNC,93.62420464874691,93.62500885248224,2.609984925487394,0.9832387269961924,1.0
P3_presplit_smote_kfold,M1+M2,2,Transfer(GNB+NMF),GNB,68.93909881833528,68.9395940335956,30.203866764240693,0.7893699393309883,1.0
P3_presplit_smote_kfold,M1+M2,2,Transfer(GNB+NMF),LR,79.26243345020127,79.2624786275786,20.750545481524448,0.8736334296708226,1.0
P3_presplit_smote_kfold,M1+M2,2,Transfer(GNB+NMF),RF,90.35190235034412,90.35194434233644,9.726011459327484,0.965576355610113,1.0
P3_presplit_smote_kfold,M1+M2,2,Transfer(GNB+NMF),KNC,92.75418776782236,92.75501387731977,5.428068944817844,0.9752578348683256,1.0
P3_presplit_smote_kfold,M1+M2,2,MFCC,GNB,67.36363636363636,67.36363636363636,31.233766233766236,0.7523996289424862,2.0
P3_presplit_smote_kfold,M1+M2,2,MFCC,LR,81.81818181818183,81.81818181818181,18.233766233766236,0.8975220779220778,2.0
P3_presplit_smote_kfold,M1+M2,2,MFCC,RF,93.92207792207792,93.92207792207792,6.012987012987011,0.9828269185360095,2.0
P3_presplit_smote_kfold,M1+M2,2,MFCC,KNC,93.84415584415584,93.84415584415584,2.6233766233766227,0.9825979085849216,2.0
P3_presplit_smote_kfold,M1+M2,2,Transfer(GNB+NMF),GNB,68.87012987012987,68.87012987012987,29.8961038961039,0.7988097824253668,2.0
P3_presplit_smote_kfold,M1+M2,2,Transfer(GNB+NMF),LR,79.46753246753246,79.46753246753246,20.506493506493506,0.8762681733850565,2.0
P3_presplit_smote_kfold,M1+M2,2,Transfer(GNB+NMF),RF,89.50649350649351,89.50649350649351,10.571428571428573,0.962559149940968,2.0
P3_presplit_smote_kfold,M1+M2,2,Transfer(GNB+NMF),KNC,93.03896103896105,93.03896103896103,5.467532467532466,0.9776774160904032,2.0
P3_presplit_smote_kfold,M1+M2,2,MFCC,GNB,67.23376623376623,67.23376623376623,32.220779220779214,0.7411472423680217,3.0
P3_presplit_smote_kfold,M1+M2,2,MFCC,LR,81.2987012987013,81.29870129870129,18.7012987012987,0.8921140158542755,3.0
P3_presplit_smote_kfold,M1+M2,2,MFCC,RF,93.92207792207792,93.92207792207792,5.753246753246752,0.9823848878394335,3.0
P3_presplit_smote_kfold,M1+M2,2,MFCC,KNC,93.67532467532467,93.67532467532467,2.8311688311688328,0.9837750379490638,3.0
P3_presplit_smote_kfold,M1+M2,2,Transfer(GNB+NMF),GNB,69.2987012987013,69.2987012987013,29.83116883116883,0.7893675830662843,3.0
P3_presplit_smote_kfold,M1+M2,2,Transfer(GNB+NMF),LR,78.62337662337663,78.62337662337661,21.376623376623375,0.8720346095462979,3.0
P3_presplit_smote_kfold,M1+M2,2,Transfer(GNB+NMF),RF,90.63636363636364,90.63636363636364,9.298701298701298,0.9656503963568899,3.0
P3_presplit_smote_kfold,M1+M2,2,Transfer(GNB+NMF),KNC,92.14285714285714,92.14285714285715,6.0909090909090935,0.9751667397537528,3.0
