target,seed,eer,auc,acc_shipped,acc_otsu,acc_median,acc_oracle,bacc_shipped,bacc_otsu,bacc_median,bacc_oracle,t_otsu,t_median,t_oracle
asvspoof2021la,8,31.716666666666665,0.8102331111111112,71.53333333333333,71.71666666666667,68.38333333333333,73.66666666666667,71.53333333333333,71.71666666666667,68.38333333333333,73.66666666666667,0.537109375,0.14033624529838562,0.9669
asvspoof2021la,9,28.53333333333333,0.8392740000000001,73.55000000000001,73.5,71.88333333333333,73.65,73.55000000000001,73.50000000000001,71.88333333333333,73.64999999999999,0.490234375,0.0026730059180408716,0.285
asvspoof2021df,0,24.683333333333334,0.8730844444444444,76.78333333333333,76.85,73.28333333333333,76.98333333333333,76.78333333333333,76.85,73.28333333333333,76.98333333333333,0.580078125,0.25832599401474,0.6901
asvspoof2021df,1,28.616666666666667,0.8393732222222223,74.36666666666667,74.48333333333333,71.38333333333333,76.64999999999999,74.36666666666667,74.48333333333333,71.38333333333333,76.64999999999999,0.533203125,0.12463856488466263,0.9965
asvspoof2021df,2,28.049999999999997,0.8515449444444444,77.14999999999999,77.16666666666666,71.95,77.33333333333333,77.15,77.16666666666667,71.95,77.33333333333333,0.490234375,0.007695647422224283,0.7253
asvspoof2021df,3,24.71666666666667,0.8726125,76.06666666666668,75.86666666666667,73.53333333333333,76.16666666666667,76.06666666666666,75.86666666666667,73.53333333333335,76.16666666666667,0.607421875,0.38142114877700806,0.4022
asvspoof2021df,4,25.916666666666664,0.8739416111111112,76.73333333333333,76.85,74.08333333333333,77.26666666666667,76.73333333333333,76.85,74.08333333333333,77.26666666666667,0.623046875,0.4275161921977997,0.969
asvspoof2021df,5,26.583333333333336,0.8600405555555555,76.16666666666667,76.18333333333334,73.41666666666666,76.23333333333333,76.16666666666667,76.18333333333334,73.41666666666666,76.23333333333333,0.501953125,0.027585284784436226,0.5895
asvspoof2021df,6,24.083333333333336,0.8762804444444444,76.86666666666667,76.8,73.03333333333333,76.88333333333334,76.86666666666666,76.8,73.03333333333333,76.88333333333334,0.580078125,0.2991051971912384,0.502
asvspoof2021df,7,25.5,0.8670122222222223,75.88333333333334,75.9,72.46666666666667,76.31666666666666,75.88333333333334,75.9,72.46666666666667,76.31666666666666,0.498046875,0.01615283451974392,0.1158
asvspoof2021df,8,31.65,0.8094141666666667,72.95,73.31666666666666,66.31666666666666,76.81666666666666,72.95,73.31666666666668,66.31666666666666,76.81666666666666,0.544921875,0.14033624529838562,0.9917
asvspoof2021df,9,27.73333333333333,0.850210611111111,76.78333333333333,76.78333333333333,72.26666666666667,76.9,76.78333333333333,76.78333333333333,72.26666666666667,76.9,0.494140625,0.0026730059180408716,0.5775
asvspoof2021pa,0,44.666666666666664,0.5799417222222222,51.849999999999994,52.016666666666666,55.333333333333336,55.63333333333333,51.849999999999994,52.016666666666666,55.333333333333336,55.63333333333333,0.400390625,0.0002959571429528296,0.0014
asvspoof2021pa,1,42.65,0.6045805555555556,55.53333333333333,55.7,57.35,57.56666666666666,55.53333333333333,55.699999999999996,57.35,57.56666666666666,0.451171875,0.016466174274683,0.0082
asvspoof2021pa,2,46.56666666666667,0.5595195,52.1,52.33333333333333,53.43333333333333,54.016666666666666,52.1,52.33333333333333,53.43333333333333,54.016666666666666,0.373046875,0.00030775245977565646,0.0066
asvspoof2021pa,3,41.2,0.613416,52.016666666666666,52.2,58.8,58.08333333333333,52.016666666666666,52.2,58.8,58.08333333333333,0.419921875,3.823377664957661e-05,0.0001
asvspoof2021pa,4,48.25,0.5313741666666667,52.06666666666667,52.1,51.74999999999999,52.25,52.06666666666666,52.1,51.75000000000001,52.25,0.474609375,0.05460060387849808,0.013
asvspoof2021pa,5,46.199999999999996,0.5575403888888889,51.24999999999999,51.31666666666666,53.800000000000004,53.900000000000006,51.24999999999999,51.31666666666666,53.800000000000004,53.89999999999999,0.431640625,0.0001881420612335205,0.0002
asvspoof2021pa,6,44.75,0.5714073888888889,50.43333333333333,50.46666666666667,55.31666666666667,54.2,50.43333333333333,50.46666666666667,55.31666666666667,54.2,0.396484375,1.012999018712435e-05,0.0001
asvspoof2021pa,7,38.949999999999996,0.6525415555555555,54.91666666666667,55.36666666666667,61.050000000000004,61.76666666666667,54.91666666666667,55.36666666666667,61.050000000000004,61.76666666666666,0.435546875,0.015276945196092129,0.0047
asvspoof2021pa,8,40.849999999999994,0.6320923888888889,59.166666666666664,59.11666666666666,59.166666666666664,59.550000000000004,59.166666666666664,59.11666666666666,59.166666666666664,59.550000000000004,0.494140625,0.3600389212369919,0.18210975605884508
asvspoof2021pa,9,42.16666666666667,0.6083536666666667,52.53333333333333,53.05,57.8,57.8,52.53333333333333,53.05,57.800000000000004,57.800000000000004,0.404296875,0.00010071400174638256,0.0001
