target,seed,pred_rate,near_thresh,otsu,otsu_gap,score_mean,score_median,score_std,eer,auc,acc,deficit
in_the_wild,8,0.6375,0.02666666666666667,0.517578125,0.017578125,0.6437396752097483,0.9942697286605835,0.44497912633558234,9.066666666666668,0.9689177222222222,84.91666666666666,6.01666666666668
in_the_wild,9,0.6561666666666667,0.011,0.505859375,0.005859375,0.6575084433844053,0.9999397993087769,0.45853153248609924,13.399999999999999,0.9382847777777777,82.51666666666667,4.083333333333329
arabic,0,0.7692998204667864,0.03877917414721724,0.548828125,0.048828125,0.7656982465279529,0.9980121850967407,0.3686708709896427,20.91134889753567,0.8702225032425421,71.52603231597845,7.562618786485871
arabic,1,0.8795332136445242,0.018850987432675045,0.564453125,0.064453125,0.8734850541586177,0.9998706579208374,0.2887001819364589,22.834111543450064,0.8453049286640726,63.28545780969479,13.880430646855146
arabic,2,0.8240574506283662,0.04470377019748654,0.591796875,0.091796875,0.8211579258830183,0.9990890026092529,0.3147820201536317,21.886640726329443,0.8649775616083009,67.16337522441653,10.949984049254027
arabic,3,0.7535008976660682,0.04201077199281867,0.552734375,0.052734375,0.7477740698645626,0.9888848662376404,0.37030404063393674,19.94442282749676,0.8766757457846952,72.38779174147217,7.667785431031064
arabic,4,0.7515260323159785,0.021903052064631955,0.525390625,0.025390625,0.749092909266352,0.9990302324295044,0.3980660394052381,20.880804150453958,0.8756559662775617,72.35188509874327,6.767310750802778
arabic,5,0.9174147217235189,0.01867145421903052,0.587890625,0.087890625,0.9120750992804875,0.9999943971633911,0.24204151963207599,21.897730220492868,0.8577717250324255,61.184919210053856,16.917350569453284
arabic,6,0.6330341113105925,0.05026929982046679,0.525390625,0.025390625,0.6314442535875208,0.9192763864994049,0.4230170974948085,17.666018158236056,0.9035385214007782,79.76660682226212,2.5673750195018243
arabic,7,0.8903052064631957,0.03087971274685817,0.599609375,0.099609375,0.8771381646590132,0.9995827078819275,0.26532507712947967,23.578793774319067,0.8370708171206226,62.06463195691203,14.356574268768902
arabic,8,0.8515260323159785,0.05529622980251347,0.630859375,0.130859375,0.8420843130250648,0.998364269733429,0.2812688668880052,19.099740596627758,0.8861001945525291,66.92998204667863,13.970277356693614
arabic,9,0.8330341113105925,0.030700179533213644,0.564453125,0.064453125,0.8306507915791406,0.999779999256134,0.32751560664737195,21.664332036316473,0.8606761348897536,66.92998204667863,11.405685917004902
asvspoof2021la,0,0.272,0.009333333333333334,0.564453125,0.064453125,0.38382968195146017,0.25832599401474,0.37991013246836336,25.766666666666673,0.8637105,73.88333333333334,0.3499999999999801
asvspoof2021la,1,0.32566666666666666,0.012666666666666666,0.529296875,0.029296875,0.3790267809568972,0.12463856488466263,0.42078522614757696,29.566666666666663,0.8316092222222222,72.21666666666667,-1.7833333333333314
asvspoof2021la,2,0.2895,0.012,0.486328125,0.013671875,0.29260494330102577,0.007695647422224283,0.433963588352516,27.98333333333333,0.8434657222222222,74.41666666666666,-2.3999999999999915
asvspoof2021la,3,0.24183333333333334,0.042166666666666665,0.595703125,0.095703125,0.4013293481592895,0.38142114877700806,0.3647341310469717,25.783333333333335,0.8588018888888889,72.5,1.7166666666666686
asvspoof2021la,4,0.2995,0.30516666666666664,0.615234375,0.115234375,0.47440980939059735,0.42298126220703125,0.37309198094088597,26.816666666666666,0.8558014444444444,73.71666666666667,-0.5333333333333314
asvspoof2021la,5,0.2615,0.008,0.498046875,0.001953125,0.27573320981050253,0.02822098508477211,0.42023290689748205,27.749999999999996,0.8460255,72.95,-0.7000000000000028
asvspoof2021la,6,0.2695,0.011333333333333334,0.580078125,0.080078125,0.3991687147991999,0.30074557662010193,0.368165316647182,25.6,0.8639762777777777,73.71666666666667,0.6833333333333371
asvspoof2021la,7,0.258,0.007833333333333333,0.490234375,0.009765625,0.264585921632375,0.016979990527033806,0.419456348352376,27.316666666666666,0.8445783888888889,72.89999999999999,-0.21666666666665435
asvspoof2021la,8,0.3263333333333333,0.017333333333333333,0.537109375,0.037109375,0.39064426113995127,0.14033624529838562,0.4071376726433364,31.716666666666665,0.8102331111111112,71.53333333333333,-3.25
asvspoof2021la,9,0.2763333333333333,0.009,0.490234375,0.009765625,0.2785654834061666,0.0026730059180408716,0.4354978893496895,28.53333333333333,0.8392740000000001,73.55000000000001,-2.083333333333343
