target,seed,phase,overall_auc,overall_eer,generator,n_fake,auc,eer
asvspoof2019,4,source,0.9894926356589149,4.658914728682169,A04,518,0.9782717518182634,7.915057915065618
asvspoof2019,4,source,0.9894926356589149,4.658914728682169,A05,464,0.994708550521251,2.7519379844004788
asvspoof2019,4,source,0.9894926356589149,4.658914728682169,A06,516,0.9731337509765037,7.790697674454035
asvspoof2019,4,adapted,0.993012015503876,4.212403100775195,A01,495,0.9999404901730482,0.42635658921844155
asvspoof2019,4,adapted,0.993012015503876,4.212403100775195,A02,503,0.9999460600736665,0.1988071570576586
asvspoof2019,4,adapted,0.993012015503876,4.212403100775195,A03,504,0.9968507751937984,2.5968992249645457
asvspoof2019,4,adapted,0.993012015503876,4.212403100775195,A04,518,0.9837983747867469,7.2868217054006035
asvspoof2019,4,adapted,0.993012015503876,4.212403100775195,A05,464,0.9981756214915797,0.8620689655172429
asvspoof2019,4,adapted,0.993012015503876,4.212403100775195,A06,516,0.9804627876930473,7.5581395348789115
dataset2,0,source,0.6865769067159482,37.238389024005734,FlashSpeech,118,0.8765447281725622,20.025083612040135
dataset2,0,source,0.6865769067159482,37.238389024005734,NaturalSpeech3,32,0.8253559256816183,27.450130095403296
dataset2,0,source,0.6865769067159482,37.238389024005734,OpenAI,600,0.621817648783348,41.64467897967227
dataset2,0,source,0.6865769067159482,37.238389024005734,PromptTTS2,25,0.9650043975373791,7.999999999999995
dataset2,0,source,0.6865769067159482,37.238389024005734,VALLE,95,0.8711428968198862,17.89797713283911
dataset2,0,source,0.6865769067159482,37.238389024005734,VoiceBox,104,0.9220029091401123,16.232127838519766
dataset2,0,source,0.6865769067159482,37.238389024005734,seedtts_files,599,0.4110482437013903,55.425709515859765
dataset2,0,source,0.6865769067159482,37.238389024005734,xTTS,600,0.9000124596892407,18.793320730938877
dataset2,0,adapted,0.6968948286336549,36.653423461600575,FlashSpeech,118,0.8851404230580029,21.1864406779661
dataset2,0,adapted,0.6968948286336549,36.653423461600575,NaturalSpeech3,32,0.839895283641161,25.681618293887414
dataset2,0,adapted,0.6968948286336549,36.653423461600575,OpenAI,600,0.5925029316915861,44.33333333333346
dataset2,0,adapted,0.6968948286336549,36.653423461600575,PromptTTS2,25,0.9664643799472296,10.026385224217941
dataset2,0,adapted,0.6968948286336549,36.653423461600575,VALLE,95,0.8704670647595242,20.66842568148205
dataset2,0,adapted,0.6968948286336549,36.653423461600575,VoiceBox,104,0.935282203504499,15.108783239323126
dataset2,0,adapted,0.6968948286336549,36.653423461600575,seedtts_files,599,0.4506084605976246,52.086811352213346
dataset2,0,adapted,0.6968948286336549,36.653423461600575,xTTS,600,0.9224794781588976,16.798592788080967
dataset2,1,source,0.7362324498188976,32.80870489792168,FlashSpeech,118,0.9213940193491645,15.254237288135622
dataset2,1,source,0.7362324498188976,32.80870489792168,NaturalSpeech3,32,0.8745052770448549,21.875000000000004
dataset2,1,source,0.7362324498188976,32.80870489792168,OpenAI,600,0.7053136909997069,34.83333333333334
dataset2,1,source,0.7362324498188976,32.80870489792168,PromptTTS2,25,0.9943183817062445,4.353562005377302
dataset2,1,source,0.7362324498188976,32.80870489792168,VALLE,95,0.9043396750451326,15.789473684232098
dataset2,1,source,0.7362324498188976,32.80870489792168,VoiceBox,104,0.9716295413030241,10.46613896214795
dataset2,1,source,0.7362324498188976,32.80870489792168,seedtts_files,599,0.41964509891155444,54.92487479131904
dataset2,1,source,0.7362324498188976,32.80870489792168,xTTS,600,0.961248534154207,10.72999120499181
dataset2,1,adapted,0.73722771391601,32.67371284505896,FlashSpeech,118,0.9212933977311688,15.30343007925885
dataset2,1,adapted,0.73722771391601,32.67371284505896,NaturalSpeech3,32,0.874237302110818,23.57080035174894
dataset2,1,adapted,0.73722771391601,32.67371284505896,OpenAI,600,0.7100560686015831,33.83333333333336
dataset2,1,adapted,0.73722771391601,32.67371284505896,PromptTTS2,25,0.9924802110817942,4.000000000000004
dataset2,1,adapted,0.73722771391601,32.67371284505896,VALLE,95,0.893452298291904,18.362178134233854
dataset2,1,adapted,0.73722771391601,32.67371284505896,VoiceBox,104,0.9681495670117042,10.233682514101531
dataset2,1,adapted,0.73722771391601,32.67371284505896,seedtts_files,599,0.4159240775082481,55.064392620953704
dataset2,1,adapted,0.73722771391601,32.67371284505896,xTTS,600,0.9662631926121372,9.812108559498958
dataset2,2,source,0.7372543257966059,33.393670460326845,FlashSpeech,118,0.9131635436697823,17.796610169491483
dataset2,2,source,0.7372543257966059,33.393670460326845,NaturalSpeech3,32,0.8550461741424802,22.779243623648338
dataset2,2,source,0.7372543257966059,33.393670460326845,OpenAI,600,0.6338855907358546,39.999999999999226
dataset2,2,source,0.7372543257966059,33.393670460326845,PromptTTS2,25,0.9934036939313985,3.9999999999999987
dataset2,2,source,0.7372543257966059,33.393670460326845,VALLE,95,0.8781025783456001,20.0
dataset2,2,source,0.7372543257966059,33.393670460326845,VoiceBox,104,0.9362843346187674,16.00703605968637
dataset2,2,source,0.7372543257966059,33.393670460326845,seedtts_files,599,0.5162499651280426,47.889182057972256
dataset2,2,source,0.7372543257966059,33.393670460326845,xTTS,600,0.9529089709762533,11.666666666660443
