seed,target,method,epoch,q_t,lo_frac,hi_frac,lambda_t,c_epoch,shift,pi_real,shrunk,q_max,n_conf,stopped
1,arabic,ours_gmmq,0,0.1,0.0499,0.1501,0.3,,,0.2494,False,0.3,1910,
1,arabic,ours_gmmq,1,0.1286,0.0641,0.193,0.3,0.0,0.27543,0.2494,False,0.3,1543,
1,arabic,ours_gmmq,2,0.1571,0.0784,0.2359,0.3,0.0,0.0549,0.2494,False,0.3,1889,
1,arabic,ours_gmmq,3,0.1857,0.0926,0.2788,0.3,0.0,0.06514,0.2494,False,0.3,2232,fixed_E
1,dataset2,ours_gmmq,0,0.1,0.0586,0.1414,0.3,,,0.293,False,0.3,795,
1,dataset2,ours_gmmq,1,0.1286,0.0754,0.1818,0.3,0.0,0.24848,0.293,False,0.3,1023,
1,dataset2,ours_gmmq,2,0.1571,0.0921,0.2222,0.3,0.0,0.11509,0.293,False,0.3,1250,
1,dataset2,ours_gmmq,3,0.1857,0.1088,0.2626,0.3,0.0,0.11724,0.293,False,0.3,1476,fixed_E
1,in_the_wild,ours_gmmq,0,0.1,0.042,0.158,0.3,,,0.2098,False,0.3,3200,
1,in_the_wild,ours_gmmq,1,0.1286,0.054,0.2032,0.3,0.0,0.01653,0.2098,False,0.3,3347,
1,in_the_wild,ours_gmmq,2,0.1571,0.0659,0.2483,0.3,0.0,0.01832,0.2098,False,0.3,4001,
1,in_the_wild,ours_gmmq,3,0.1857,0.0779,0.2935,0.3,0.0,0.04177,0.2098,False,0.3,3631,fixed_E
1,asvspoof2019,ours_gmmq,0,0.1,0.0612,0.1388,0.3,,,0.3058,False,0.3,2643,
1,asvspoof2019,ours_gmmq,1,0.1286,0.0786,0.1785,0.3,0.0,0.23596,0.3058,False,0.3,1561,
1,asvspoof2019,ours_gmmq,2,0.1571,0.0961,0.2182,0.3,0.0,0.0474,0.3058,False,0.3,1889,
1,asvspoof2019,ours_gmmq,3,0.1857,0.1136,0.2579,0.3,0.0,0.02207,0.3058,False,0.3,2232,fixed_E
2,arabic,ours_gmmq,0,0.1,0.0677,0.1323,0.3,,,0.3386,False,0.3,1294,
2,arabic,ours_gmmq,1,0.1286,0.0871,0.1701,0.3,0.0,0.32112,0.3386,False,0.3,1547,
2,arabic,ours_gmmq,2,0.1571,0.1064,0.2079,0.3,0.0,0.04,0.3386,False,0.3,1888,
2,arabic,ours_gmmq,3,0.1857,0.1258,0.2457,0.3,0.0,0.02156,0.3386,False,0.3,2232,fixed_E
2,dataset2,ours_gmmq,0,0.1,0.1431,0.0569,0.3,,,0.7156,False,0.3,805,
2,dataset2,ours_gmmq,1,0.1286,0.184,0.0731,0.3,0.0,0.39584,0.7156,False,0.3,1022,
2,dataset2,ours_gmmq,2,0.1571,0.2249,0.0894,0.3,0.0,0.00744,0.7156,False,0.3,1256,
2,dataset2,ours_gmmq,3,0.1857,0.2658,0.1057,0.3,0.0,0.01587,0.7156,False,0.3,1476,fixed_E
2,in_the_wild,ours_gmmq,0,0.1,0.0457,0.1543,0.3,,,0.2283,False,0.3,1289,
2,in_the_wild,ours_gmmq,1,0.1286,0.0587,0.1984,0.3,0.0,0.08371,0.2283,False,0.3,1598,
2,in_the_wild,ours_gmmq,2,0.1571,0.0717,0.2425,0.3,0.0,0.03305,0.2283,False,0.3,1896,
2,in_the_wild,ours_gmmq,3,0.1857,0.0848,0.2866,0.3,0.0,0.01887,0.2283,False,0.3,2232,fixed_E
2,asvspoof2019,ours_gmmq,0,0.1,0.0553,0.1447,0.3,,,0.2763,False,0.3,3718,
2,asvspoof2019,ours_gmmq,1,0.1286,0.0711,0.1861,0.3,0.0,0.16096,0.2763,False,0.3,3708,
2,asvspoof2019,ours_gmmq,2,0.1571,0.0868,0.2274,0.3,0.0,0.02974,0.2763,False,0.3,2978,
2,asvspoof2019,ours_gmmq,3,0.1857,0.1026,0.2688,0.3,0.0,0.03783,0.2763,False,0.3,2234,fixed_E
