corpus,ckpt,arm,seed,eval_sub,q,skew,rule,label,nominal,actual,purity,bound,n_adapt,pi_c,excess,wrong
itw,ssl_aasist_wavefake,source,0,0,0.1,0.01,symmetric,0,0.1,0.100375,1,1,8000,0.989125,0,0
itw,ssl_aasist_wavefake,source,0,0,0.1,0.01,symmetric,1,0.1,0.100125,0.1073657928,0.1086142322,8000,0.010875,714,715
itw,ssl_aasist_wavefake,source,0,0,0.1,0.01,bbse,0,0.128222109,0.128875,1,1,8000,0.989125,0,0
itw,ssl_aasist_wavefake,source,0,0,0.1,0.01,bbse,1,0.07177789098,0.072,0.1440972222,0.1510416667,8000,0.010875,489,493
itw,ssl_aasist_wavefake,source,0,0,0.1,0.02,symmetric,0,0.1,0.100375,1,1,8000,0.978625,0,0
itw,ssl_aasist_wavefake,source,0,0,0.1,0.02,symmetric,1,0.1,0.100625,0.2062111801,0.2124223602,8000,0.021375,634,639
itw,ssl_aasist_wavefake,source,0,0,0.1,0.02,bbse,0,0.1262098828,0.126625,1,1,8000,0.978625,0,0
itw,ssl_aasist_wavefake,source,0,0,0.1,0.02,bbse,1,0.07379011717,0.074375,0.2722689076,0.287394958,8000,0.021375,424,433
itw,ssl_aasist_wavefake,source,0,0,0.1,0.05,symmetric,0,0.1,0.100375,1,1,8000,0.951125,0,0
itw,ssl_aasist_wavefake,source,0,0,0.1,0.05,symmetric,1,0.1,0.10025,0.463840399,0.4875311721,8000,0.048875,411,430
itw,ssl_aasist_wavefake,source,0,0,0.1,0.05,bbse,0,0.1221090168,0.12275,1,1,8000,0.951125,0,0
itw,ssl_aasist_wavefake,source,0,0,0.1,0.05,bbse,1,0.07789098319,0.078375,0.5757575758,0.6236044657,8000,0.048875,236,266
itw,ssl_aasist_wavefake,source,0,0,0.1,0.1,symmetric,0,0.1,0.10025,1,1,8000,0.9035,0,0
itw,ssl_aasist_wavefake,source,0,0,0.1,0.1,symmetric,1,0.1,0.10075,0.7816377171,0.9578163772,8000,0.0965,34,176
itw,ssl_aasist_wavefake,source,0,0,0.1,0.1,bbse,0,0.1176006113,0.118125,1,1,8000,0.9035,0,0
itw,ssl_aasist_wavefake,source,0,0,0.1,0.1,bbse,1,0.08239938869,0.083375,0.8290854573,1,8000,0.0965,0,114
itw,ssl_aasist_wavefake,source,0,0,0.1,0.9,symmetric,0,0.1,0.1,0.85625,0.97,8000,0.097,24,115
itw,ssl_aasist_wavefake,source,0,0,0.1,0.9,symmetric,1,0.1,0.11675,1,1,8000,0.903,0,0
itw,ssl_aasist_wavefake,source,0,0,0.1,0.9,bbse,0,0.009398879266,0.009625,1,1,8000,0.097,0,0
itw,ssl_aasist_wavefake,source,0,0,0.1,0.9,bbse,1,0.1906011207,0.212375,0.9982342554,1,8000,0.903,0,3
itw,ssl_aasist_wavefake,source,0,0,0.1,0.95,symmetric,0,0.1,0.100875,0.4869888476,0.511771995,8000,0.051625,394,414
itw,ssl_aasist_wavefake,source,0,0,0.1,0.95,symmetric,1,0.1,0.121,1,1,8000,0.948375,0,0
itw,ssl_aasist_wavefake,source,0,0,0.1,0.95,bbse,0,0.003285787061,0.003375,1,1,8000,0.051625,0,0
itw,ssl_aasist_wavefake,source,0,0,0.1,0.95,bbse,1,0.1967142129,0.22675,0.9994487321,1,8000,0.948375,0,1
itw,ssl_aasist_wavefake,source,0,0,0.1,0.97,symmetric,0,0.1,0.100375,0.295143213,0.300124533,8000,0.030125,562,566
itw,ssl_aasist_wavefake,source,0,0,0.1,0.97,symmetric,1,0.1,0.105125,1,1,8000,0.969875,0,0
itw,ssl_aasist_wavefake,source,0,0,0.1,0.97,bbse,0,0.0003311258278,0.000375,1,1,8000,0.030125,0,0
itw,ssl_aasist_wavefake,source,0,0,0.1,0.97,bbse,1,0.1996688742,0.202375,0.9993823348,1,8000,0.969875,0,1
itw,ssl_aasist_wavefake,source,0,0,0.3,0.01,symmetric,0,0.3,0.300125,1,1,8000,0.989125,0,0
itw,ssl_aasist_wavefake,source,0,0,0.3,0.01,symmetric,1,0.3,0.3,0.03625,0.03625,8000,0.010875,2313,2313
itw,ssl_aasist_wavefake,source,0,0,0.3,0.01,bbse,0,0.3846663271,0.384625,1,1,8000,0.989125,0,0
itw,ssl_aasist_wavefake,source,0,0,0.3,0.01,bbse,1,0.2153336729,0.215375,0.05049332559,0.05049332559,8000,0.010875,1636,1636
itw,ssl_aasist_wavefake,source,0,0,0.3,0.02,symmetric,0,0.3,0.30025,1,1,8000,0.978625,0,0
itw,ssl_aasist_wavefake,source,0,0,0.3,0.02,symmetric,1,0.3,0.3,0.07125,0.07125,8000,0.021375,2229,2229
itw,ssl_aasist_wavefake,source,0,0,0.3,0.02,bbse,0,0.3786296485,0.378875,1,1,8000,0.978625,0,0
itw,ssl_aasist_wavefake,source,0,0,0.3,0.02,bbse,1,0.2213703515,0.222125,0.09622960045,0.09622960045,8000,0.021375,1606,1606
itw,ssl_aasist_wavefake,source,0,0,0.3,0.05,symmetric,0,0.3,0.30025,1,1,8000,0.951125,0,0
itw,ssl_aasist_wavefake,source,0,0,0.3,0.05,symmetric,1,0.3,0.3,0.1620833333,0.1629166667,8000,0.048875,2009,2011
itw,ssl_aasist_wavefake,source,0,0,0.3,0.05,bbse,0,0.3663270504,0.366375,1,1,8000,0.951125,0,0
itw,ssl_aasist_wavefake,source,0,0,0.3,0.05,bbse,1,0.2336729496,0.23375,0.207486631,0.2090909091,8000,0.048875,1479,1482
itw,ssl_aasist_wavefake,source,0,0,0.3,0.1,symmetric,0,0.3,0.300125,1,1,8000,0.9035,0,0
itw,ssl_aasist_wavefake,source,0,0,0.3,0.1,symmetric,1,0.3,0.300125,0.3202832153,0.3215326947,8000,0.0965,1629,1632
itw,ssl_aasist_wavefake,source,0,0,0.3,0.1,bbse,0,0.3528018339,0.353375,1,1,8000,0.9035,0,0
itw,ssl_aasist_wavefake,source,0,0,0.3,0.1,bbse,1,0.2471981661,0.2475,0.3868686869,0.3898989899,8000,0.0965,1208,1214
