corpus,ckpt,seed,eval_sub,skew,setting,arm,n,n_pos,eer,eer_lo,eer_hi,d_vs_ref,d_lo,d_hi,d_vs_sym,dsym_lo,dsym_hi,B
itw,deepfense_w2v2_aasist_s240,0,0,0.0,available_pool,Source,31779,11816,8.466981297466356,8.14846721728268,8.780439831733167,0.0,0.0,0.0,0.13596213612228347,-0.01618609001328406,0.30223459222132626,2000
itw,deepfense_w2v2_aasist_s240,0,0,0.0,available_pool,Sym q=.3,31779,11816,8.331019161344072,8.01920401393011,8.633275964181745,-0.13596213612228347,-0.30223459222132637,0.016186090013284003,0.0,0.0,0.0,2000
itw,deepfense_w2v2_aasist_s240,0,0,0.0,available_pool,BBSE,31779,11816,8.475605697550584,8.149891501232409,8.784165343305672,0.008624400084228379,-0.12720468405754826,0.1248654917812516,0.14458653620651185,-0.01915360761130639,0.30011749361113105,2000
itw,deepfense_w2v2_aasist_s240,0,0,0.0,disjoint_eval,Source,11779,4397,8.715306469644682,8.169638171047763,9.20739027982699,0.0,0.0,0.0,0.19278676816772283,-0.09924096053160532,0.41548903364198003,2000
itw,deepfense_w2v2_aasist_s240,0,0,0.0,disjoint_eval,Sym q=.3,11779,4397,8.52251970147696,8.01950690869683,9.051626108710487,-0.19278676816772283,-0.41548903364198014,0.09924096053160526,0.0,0.0,0.0,2000
itw,deepfense_w2v2_aasist_s240,0,0,0.0,disjoint_eval,BBSE,11779,4397,8.695966773273902,8.187061758624962,9.205898937655636,-0.019339696370779258,-0.19176926013963802,0.20787844394703575,0.17344707179694357,-0.09616756189005135,0.42189735640028053,2000
itw,ssl_aasist_wavefake,0,0,0.0,available_pool,Source,31779,11816,5.060450924318252,4.817496868991531,5.308624784169879,0.0,0.0,0.0,0.5070270902251796,0.37705198039898424,0.589487171009671,2000
itw,ssl_aasist_wavefake,0,0,0.0,available_pool,Sym q=.3,31779,11816,4.5534238340930715,4.3429980174731515,4.823967501692616,-0.5070270902251796,-0.589487171009671,-0.3770519803989843,0.0,0.0,0.0,2000
itw,ssl_aasist_wavefake,0,0,0.0,available_pool,BBSE,31779,11816,4.5407344472765026,4.2855473896494445,4.764807809456433,-0.5197164770417491,-0.641613949367668,-0.42543029415520867,-0.012689386816569503,-0.11043253378270937,0.0,2000
itw,ssl_aasist_wavefake,0,0,0.0,disjoint_eval,Source,11779,4397,5.01539585616617,4.630188786717325,5.432132213492278,0.0,0.0,0.0,0.38250504066901503,0.22263883123625489,0.5754417259185817,2000
