corpus,ckpt,q,skew,seed,setting,prior,worst_purity,n_adapt,delta,excess,wrong,ba_source,ba_adapted,d_ba
itw,ssl_aasist_wavefake,0.15,0.01,0,disjoint_eval,0.009453349774,0.07243963364,8000,0.13925,1114,1114,82.65145228,85.25311203,2.601659751
itw,ssl_aasist_wavefake,0.15,0.01,1,available_pool,0.01001735681,0.07993338884,8000,0.138125,1105,1105,82.68797275,86.26458949,3.576616741
itw,ssl_aasist_wavefake,0.15,0.01,1,disjoint_eval,0.0087135224,0.07993338884,8000,0.138125,1105,1105,82.62293723,86.21776267,3.594825442
itw,ssl_aasist_wavefake,0.15,0.01,2,available_pool,0.01001735681,0.07660283097,8000,0.138625,1109,1109,82.68797275,86.50753895,3.819566197
itw,ssl_aasist_wavefake,0.15,0.01,2,disjoint_eval,0.009042334566,0.07660283097,8000,0.138625,1109,1109,82.6171713,86.52011613,3.902944836
itw,ssl_aasist_wavefake,0.17,0.97,0,available_pool,0.9700353009,0.1711191336,8000,0.143,1144,1149,83.52355988,88.96204125,5.438481372
itw,ssl_aasist_wavefake,0.17,0.97,0,disjoint_eval,0.9703420234,0.1711191336,8000,0.143,1144,1149,86.25334945,88.71782741,2.464477963
itw,ssl_aasist_wavefake,0.17,0.97,1,available_pool,0.9700353009,0.1661828737,8000,0.14275,1142,1150,83.52355988,89.40477736,5.881217481
itw,ssl_aasist_wavefake,0.17,0.97,1,disjoint_eval,0.9691461373,0.1661828737,8000,0.14275,1142,1150,83.67157189,90.31342547,6.641853578
itw,ssl_aasist_wavefake,0.17,0.97,2,available_pool,0.9700353009,0.1700729927,8000,0.142,1136,1137,83.52355988,88.4881076,4.964547723
itw,ssl_aasist_wavefake,0.17,0.97,2,disjoint_eval,0.9686677828,0.1700729927,8000,0.142,1136,1137,82.79973612,87.37451701,4.574780888
itw,ssl_aasist_wavefake,0.19,0.01,0,available_pool,0.01001735681,0.05719921105,8000,0.17925,1434,1434,82.68797275,81.02489606,-1.663076692
itw,ssl_aasist_wavefake,0.19,0.01,0,disjoint_eval,0.009453349774,0.05719921105,8000,0.17925,1434,1434,82.65145228,81.05809129,-1.593360996
itw,ssl_aasist_wavefake,0.21,0.97,0,available_pool,0.9700353009,0.1410861865,8000,0.181625,1453,1456,83.52355988,86.48816093,2.964601052
itw,ssl_aasist_wavefake,0.21,0.97,0,disjoint_eval,0.9703420234,0.1410861865,8000,0.181625,1453,1456,86.25334945,86.61920456,0.365855113
itw,ssl_aasist_wavefake,0.23,0.01,0,available_pool,0.01001735681,0.0472826087,8000,0.219125,1753,1753,82.68797275,78.12703501,-4.560937735
itw,ssl_aasist_wavefake,0.23,0.01,0,disjoint_eval,0.009453349774,0.0472826087,8000,0.219125,1753,1753,82.65145228,78.08713693,-4.564315353
itw,ssl_aasist_wavefake,0.25,0.97,0,available_pool,0.9700353009,0.1189885969,8000,0.222,1776,1778,83.52355988,84.37661726,0.8530573821
itw,ssl_aasist_wavefake,0.25,0.97,0,disjoint_eval,0.9703420234,0.1189885969,8000,0.222,1776,1778,86.25334945,84.54870912,-1.704640327
itw,ssl_aasist_wavefake,0.3,0,0,available_pool,0.3718178671,0.9591972135,20000,0,0,250,82.66742123,95.41043661,12.74301538
itw,ssl_aasist_wavefake,0.3,0,0,disjoint_eval,0.3732914509,0.9591972135,20000,0,0,250,82.78219577,95.40759762,12.62540184
itw,ssl_aasist_wavefake,0.3,0.01,0,available_pool,0.01001735681,0.03625,8000,0.289125,2313,2313,82.68797275,75.70755898,-6.980413765
itw,ssl_aasist_wavefake,0.3,0.01,0,disjoint_eval,0.009453349774,0.03625,8000,0.289125,2313,2313,82.65145228,75.81327801,-6.838174274
itw,ssl_aasist_wavefake,0.3,0.01,1,available_pool,0.01001735681,0.04,8000,0.288,2304,2304,82.68797275,78.90096679,-3.787005961
itw,ssl_aasist_wavefake,0.3,0.01,1,disjoint_eval,0.0087135224,0.04,8000,0.288,2304,2304,82.62293723,78.85396799,-3.768969235
itw,ssl_aasist_wavefake,0.3,0.01,2,available_pool,0.01001735681,0.03833333333,8000,0.2885,2308,2308,82.68797275,77.90161799,-4.786354756
itw,ssl_aasist_wavefake,0.3,0.01,2,disjoint_eval,0.009042334566,0.03833333333,8000,0.2885,2308,2308,82.6171713,77.87639983,-4.740771464
itw,ssl_aasist_wavefake,0.3,0.02,0,available_pool,0.01998036328,0.07125,8000,0.278625,2229,2229,82.71051445,79.0136753,-3.696839152
itw,ssl_aasist_wavefake,0.3,0.02,0,disjoint_eval,0.01907841552,0.07125,8000,0.278625,2229,2229,82.78803362,79.19070381,-3.597329817
itw,ssl_aasist_wavefake,0.3,0.05,0,available_pool,0.0500142762,0.1620833333,8000,0.251125,2009,2011,82.61284804,78.84085558,-3.771992458
itw,ssl_aasist_wavefake,0.3,0.05,0,disjoint_eval,0.05071461503,0.1620833333,8000,0.251125,2009,2011,82.77885705,79.01084669,-3.768010361
itw,ssl_aasist_wavefake,0.3,0.1,0,available_pool,0.09999549164,0.3202832153,8000,0.203625,1629,1632,82.68045772,82.31478122,-0.3656765015
itw,ssl_aasist_wavefake,0.3,0.1,0,disjoint_eval,0.1019674212,0.3202832153,8000,0.203625,1629,1632,82.52137003,82.19157026,-0.3297997644
itw,ssl_aasist_wavefake,0.3,0.3718,0,available_pool,0.3717980993,0.9595833333,8000,0,0,99,82.61732534,95.16686339,12.54953806
itw,ssl_aasist_wavefake,0.3,0.3718,0,disjoint_eval,0.3729077298,0.9595833333,8000,0,0,99,82.7919945,95.19794819,12.40595368
itw,ssl_aasist_wavefake,0.3,0.9,0,available_pool,0.8999923833,0.3135313531,8000,0.206,1648,1669,82.74942557,84.44065671,1.691231145
itw,ssl_aasist_wavefake,0.3,0.9,0,disjoint_eval,0.8953012283,0.3135313531,8000,0.206,1648,1669,82.65978724,84.75275193,2.09296469
itw,ssl_aasist_wavefake,0.3,0.95,0,available_pool,0.9499919601,0.1672816728,8000,0.25325,2026,2032,83.56743377,83.02731922,-0.5401145539
itw,ssl_aasist_wavefake,0.3,0.95,0,disjoint_eval,0.9529067147,0.1672816728,8000,0.25325,2026,2032,85.39487544,83.34121542,-2.053660021
itw,ssl_aasist_wavefake,0.3,0.97,0,available_pool,0.9700353009,0.09803921569,8000,0.275875,2207,2209,83.52355988,81.77844529,-1.745114588
itw,ssl_aasist_wavefake,0.3,0.97,0,disjoint_eval,0.9703420234,0.09803921569,8000,0.275875,2207,2209,86.25334945,82.02221171,-4.231137739
itw,ssl_aasist_wavefake,0.3,0.97,1,available_pool,0.9700353009,0.09512195122,8000,0.278,2224,2227,83.52355988,81.49916296,-2.024396917
itw,ssl_aasist_wavefake,0.3,0.97,1,disjoint_eval,0.9691461373,0.09512195122,8000,0.278,2224,2227,83.67157189,82.28035538,-1.391216511
itw,ssl_aasist_wavefake,0.3,0.97,2,available_pool,0.9700353009,0.09601969635,8000,0.275375,2203,2203,83.52355988,81.89269716,-1.630862726
itw,ssl_aasist_wavefake,0.3,0.97,2,disjoint_eval,0.9686677828,0.09601969635,8000,0.275375,2203,2203,82.79973612,81.18829517,-1.611440957
itw,ssl_aasist_wavefake,0.4,0.3718,0,available_pool,0.3717980993,0.8901373283,8000,0.032,256,354,82.61732534,94.3734807,11.75615536
itw,ssl_aasist_wavefake,0.4,0.3718,0,disjoint_eval,0.3729077298,0.8901373283,8000,0.032,256,354,82.7919945,94.42426591,11.6322714
itw,ssl_aasist_wavefake,0.45,0.3718,0,available_pool,0.3717980993,0.8077777778,8000,0.0815,652,698,82.61732534,90.96345802,8.346132686
itw,ssl_aasist_wavefake,0.45,0.3718,0,disjoint_eval,0.3729077298,0.8077777778,8000,0.0815,652,698,82.7919945,90.94432462,8.152330118
itw,ssl_aasist_wavefake,0.5,0.3718,0,available_pool,0.3717980993,0.7335666083,8000,0.131625,1053,1079,82.61732534,90.09063594,7.473310601
itw,ssl_aasist_wavefake,0.5,0.3718,0,disjoint_eval,0.3729077298,0.7335666083,8000,0.131625,1053,1079,82.7919945,90.13207661,7.340082111
itw,ssl_aasist_wavefake,0.5,0.3718,1,available_pool,0.3717980993,0.741,8000,0.127375,1019,1053,82.61732534,90.16309775,7.545772417
itw,ssl_aasist_wavefake,0.5,0.3718,1,disjoint_eval,0.3715198923,0.741,8000,0.127375,1019,1053,82.61228078,90.32962211,7.71734133
itw,ssl_aasist_wavefake,0.5,0.3718,2,available_pool,0.3717980993,0.7389457907,8000,0.12925,1034,1056,82.61732534,89.55248483,6.935159499
itw,ssl_aasist_wavefake,0.5,0.3718,2,disjoint_eval,0.3720245605,0.7389457907,8000,0.12925,1034,1056,82.63418173,89.58063274,6.946451012
